tick,e1_monomer_count_direct_state_read,complex1_delta_MG_041_062_429_PENTAMER,complex2_delta_MG_041_069_429_PENTAMER,any_complex_delta_total,any_complex_changed,pinched
11,0,0,0,1,1,0
12,0,0,0,-1,1,0
16,0,0,0,1,1,0
17,0,0,0,-1,1,0
18,0,0,0,1,1,0
19,0,0,0,-1,1,0
21,0,0,0,1,1,0
22,0,0,0,-1,1,0
25,0,0,0,0,0,0
29,0,0,0,1,1,0
30,0,0,0,-1,1,0
50,0,0,0,0,0,0
53,0,0,0,1,1,0
54,0,0,0,-1,1,0
62,0,0,0,1,1,0
63,0,0,0,-1,1,0
64,0,0,0,1,1,0
65,0,0,0,0,1,0
66,0,0,0,-1,1,0
72,0,0,0,1,1,0
73,0,0,0,-1,1,0
75,0,0,0,0,0,0
84,0,0,0,1,1,0
85,0,0,0,-1,1,0
100,0,0,0,0,0,0
106,0,0,0,2,1,0
107,0,0,0,-2,1,0
116,0,0,0,1,1,0
117,0,0,0,0,1,0
118,0,0,0,-1,1,0
119,0,0,0,1,1,0
120,0,0,0,-1,1,0
125,0,0,0,1,1,0
126,0,0,0,-1,1,0
130,0,0,0,1,1,0
131,0,0,0,-1,1,0
136,0,0,0,1,1,0
137,0,0,0,-1,1,0
144,0,0,0,1,1,0
145,0,0,0,-1,1,0
146,0,0,0,1,1,0
147,0,0,0,-1,1,0
150,0,0,0,0,0,0
153,0,0,0,1,1,0
154,0,0,0,-1,1,0
156,0,0,0,1,1,0
157,0,0,0,-1,1,0
175,0,0,0,1,1,0
176,0,0,0,-1,1,0
178,0,0,0,1,1,0
179,0,0,0,-1,1,0
185,0,0,0,1,1,0
186,0,0,0,-1,1,0
200,0,0,0,0,0,0
214,0,0,0,1,1,0
215,0,0,0,-1,1,0
217,0,0,0,1,1,0
218,0,0,0,-1,1,0
224,0,0,0,2,1,0
225,0,0,0,-2,1,0
227,0,0,0,1,1,0
228,0,0,0,-1,1,0
230,0,0,0,1,1,0
231,0,0,0,-1,1,0
235,0,0,0,1,1,0
236,0,0,0,-1,1,0
250,0,0,0,0,0,0
252,0,0,0,1,1,0
253,0,0,0,-1,1,0
273,0,0,0,1,1,0
274,0,0,0,-1,1,0
275,0,0,0,0,0,0
279,0,0,0,1,1,0
280,0,0,0,-1,1,0
283,0,0,0,1,1,0
284,0,0,0,-1,1,0
300,0,0,0,0,0,0
307,0,0,0,1,1,0
308,0,0,0,-1,1,0
319,0,0,0,1,1,0
320,0,0,0,-1,1,0
322,0,0,0,2,1,0
323,0,0,0,-2,1,0
325,0,0,0,0,0,0
330,0,0,0,1,1,0
331,0,0,0,-1,1,0
335,0,0,0,1,1,0
336,0,0,0,-1,1,0
350,0,0,0,0,0,0
355,0,0,0,2,1,0
356,0,0,0,-2,1,0
375,0,0,0,0,0,0
400,0,0,0,0,0,0
425,0,0,0,0,0,0
444,0,0,0,1,1,0
445,0,0,0,-1,1,0
450,0,0,0,0,0,0
473,0,0,0,1,1,0
474,0,0,0,-1,1,0
475,0,0,0,0,0,0
500,0,0,0,0,0,0
512,0,0,0,2,1,0
513,0,0,0,-2,1,0
525,0,0,0,0,0,0
550,0,0,0,0,0,0
572,0,0,0,1,1,0
573,0,0,0,-1,1,0
575,0,0,0,0,0,0
594,0,0,0,1,1,0
595,0,0,0,-1,1,0
597,0,0,0,2,1,0
598,0,0,0,-2,1,0
600,0,0,0,0,0,0
603,0,0,0,1,1,0
604,0,0,0,-1,1,0
612,0,0,0,1,1,0
613,0,0,0,-1,1,0
625,0,0,0,0,0,0
650,0,0,0,0,0,0
653,0,0,0,1,1,0
654,0,0,0,-1,1,0
655,0,0,0,2,1,0
656,0,0,0,-2,1,0
669,0,0,0,1,1,0
670,0,0,0,-1,1,0
675,0,0,0,0,0,0
681,0,0,0,1,1,0
682,0,0,0,-1,1,0
688,0,0,0,1,1,0
689,0,0,0,-1,1,0
700,0,0,0,0,0,0
