observable,tick,w1,threshold,excess
substrates,0,4709.98,18.0686,4691.9114
substrates,1,7568.2,43.63259999999999,7524.5674
substrates,2,8729.059999999998,176.73809999999995,8552.321899999997
substrates,3,7857.94,424.35470000000004,7433.5853
substrates,4,7055.12,625.5754999999998,6429.5445
substrates,5,6911.759999999999,505.46759999999927,6406.2924
substrates,6,7011.119999999999,535.2049999999996,6475.914999999999
substrates,7,7480.64,618.1009999999995,6862.539000000001
substrates,8,7545.14,674.8136999999997,6870.326300000001
substrates,9,7734.740000000001,765.0400999999996,6969.699900000001
substrates,10,7374.7,793.8028999999997,6580.8971
substrates,11,7502.56,814.4686,6688.0914
substrates,12,7347.900000000001,750.0943999999998,6597.805600000001
substrates,13,7272.280000000001,766.1973000000002,6506.082700000001
substrates,14,7531.919999999999,896.0929999999996,6635.826999999999
substrates,15,7315.459999999999,794.9292999999998,6520.530699999999
substrates,16,7427.16,842.688,6584.472
substrates,17,7521.96,862.9785999999999,6658.981400000001
substrates,18,7324.300000000001,928.8399999999999,6395.460000000001
substrates,19,7579.420000000001,906.8697000000001,6672.550300000001
substrates,20,7875.699999999999,1016.0953000000002,6859.604699999999
substrates,21,7827.800000000001,1103.8950999999997,6723.904900000001
substrates,22,7639.460000000001,1027.7761999999998,6611.683800000001
substrates,23,7547.34,903.2748999999999,6644.0651
substrates,24,7642.339999999999,903.6367999999991,6738.7032
substrates,25,8045.600000000001,972.0424999999998,7073.557500000002
substrates,26,7924.020000000002,1046.6181,6877.401900000003
substrates,27,8028.12,1078.2089999999996,6949.911
substrates,28,8036.9800000000005,1139.1401999999991,6897.839800000002
substrates,29,8026.0599999999995,925.814999999999,7100.245000000001
substrates,30,8332.2,927.9247999999994,7404.275200000001
substrates,31,8206.76,993.0349,7213.725100000001
substrates,32,8182.58,793.4113000000001,7389.1687
substrates,33,8155.3,882.9314999999999,7272.3685000000005
substrates,34,7849.780000000001,689.7472999999999,7160.032700000001
substrates,35,7596.22,574.8313999999999,7021.3886
substrates,36,7439.200000000002,557.6504999999999,6881.549500000002
substrates,37,7568.78,657.7196999999999,6911.0603
substrates,38,7387.160000000001,708.5473999999998,6678.612600000001
substrates,39,7261.500000000001,707.9765,6553.523500000001
substrates,40,7524.2,638.3816999999999,6885.8183
substrates,41,7843.179999999999,812.7360999999997,7030.443899999999
substrates,42,7747.24,733.8363999999997,7013.4036
substrates,43,7638.58,735.1025000000001,6903.4775
substrates,44,7538.0199999999995,772.937,6765.083
substrates,45,7495.680000000001,921.8890999999992,6573.790900000002
substrates,46,8007.700000000002,923.2211999999994,7084.478800000003
substrates,47,7922.379999999999,835.2905,7087.089499999999
substrates,48,7661.58,856.9506000000002,6804.6294
substrates,49,7614.039999999999,732.4206999999998,6881.619299999999
substrates,50,8048.24,1007.9629999999997,7040.277
substrates,51,7830.460000000001,917.0006999999999,6913.459300000001
substrates,52,7640.96,851.8905999999997,6789.0694
substrates,53,7532.419999999998,649.0098999999997,6883.410099999998
substrates,54,7393.840000000001,680.0662,6713.773800000001
substrates,55,7428.180000000001,795.9567,6632.2233000000015
substrates,56,7701.460000000001,1033.0286999999998,6668.431300000001
substrates,57,7723.92,1001.5841000000001,6722.3359
substrates,58,7858.94,996.1038999999987,6862.8361
substrates,59,8087.679999999999,983.7266999999996,7103.9533
substrates,60,7900.619999999999,725.3916999999998,7175.228299999999
substrates,61,7728.3,671.5180999999998,7056.7819
substrates,62,7800.099999999999,721.9542000000004,7078.145799999999
substrates,63,7549.019999999999,614.8406,6934.179399999999
substrates,64,7775.34,630.201,7145.139
substrates,65,7895.34,849.6003999999983,7045.739600000002
substrates,66,7931.040000000001,1015.1064,6915.933600000001
substrates,67,7863.720000000001,987.2796999999999,6876.440300000001
substrates,68,7907.08,908.2688999999993,6998.811100000001
substrates,69,7815.4800000000005,740.3483999999997,7075.131600000001
substrates,70,7936.54,809.1324999999999,7127.4075
substrates,71,7791.84,820.7881,6971.0519
substrates,72,7640.94,782.5124999999997,6858.4275
substrates,73,7730.44,748.6731999999997,6981.766799999999
substrates,74,7757.46,721.1346999999998,7036.3253
substrates,75,7740.620000000001,759.9294999999998,6980.690500000001
substrates,76,7888.660000000001,783.2604999999993,7105.399500000001
substrates,77,7625.459999999998,842.6538999999999,6782.806099999998
substrates,78,7780.78,822.0629999999999,6958.717
substrates,79,7812.779999999998,1062.6825000000003,6750.097499999998
substrates,80,7906.140000000001,790.6062999999996,7115.533700000002
substrates,81,7973.300000000001,890.6490999999999,7082.6509000000015
substrates,82,7976.84,922.7295000000001,7054.1105
substrates,83,7945.02,752.1733999999998,7192.846600000001
substrates,84,7817.660000000001,880.1012,6937.558800000001
substrates,85,7883.04,874.9488000000002,7008.0912
substrates,86,7689.639999999999,794.2703999999999,6895.3696
substrates,87,7915.500000000001,936.9293999999993,6978.570600000002
substrates,88,7659.82,745.3522999999992,6914.4677
substrates,89,7632.24,643.2283,6989.0117
substrates,90,7646.580000000001,621.0006,7025.5794000000005
substrates,91,7642.5199999999995,612.8902999999999,7029.6296999999995
substrates,92,7865.300000000001,608.839,7256.461000000001
substrates,93,8134.379999999998,787.0247000000002,7347.355299999998
substrates,94,8110.0199999999995,763.4615999999995,7346.5584
substrates,95,8037.920000000001,762.7069999999997,7275.213000000002
substrates,96,8019.22,805.6894999999998,7213.530500000001
substrates,97,7826.3,791.3796000000001,7034.9204
substrates,98,8205.06,836.7831999999999,7368.2768
substrates,99,8374.26,932.4095000000001,7441.8505000000005
enzymes,0,0.52,0.1990999999999997,0.3209000000000003
enzymes,1,0.98,0.308,0.6719999999999999
enzymes,2,0.9,0.264,0.636
enzymes,3,0.9,0.5060000000000001,0.3939999999999999
enzymes,4,0.88,0.41800000000000004,0.46199999999999997
enzymes,5,0.96,0.5510999999999996,0.4089000000000004
enzymes,6,1.06,0.4641999999999993,0.5958000000000008
enzymes,7,1.28,0.5499999999999999,0.7300000000000001
enzymes,8,1.24,0.704,0.536
enzymes,9,1.28,0.5950999999999997,0.6849000000000003
enzymes,10,1.16,0.6170999999999998,0.5429000000000002
enzymes,11,1.12,0.616,0.5040000000000001
enzymes,12,1.12,0.5290999999999998,0.5909000000000003
enzymes,13,1.2200000000000002,0.7040000000000001,0.5160000000000001
enzymes,14,1.08,0.5060000000000001,0.574
enzymes,15,1.1400000000000001,0.5510999999999997,0.5889000000000004
enzymes,16,1.28,0.8370999999999996,0.4429000000000004
enzymes,17,1.06,0.5730999999999998,0.4869000000000002
enzymes,18,1.4000000000000001,0.704,0.6960000000000002
enzymes,19,1.2600000000000002,0.5950999999999997,0.6649000000000005
enzymes,20,1.2,0.5730999999999998,0.6269000000000001
enzymes,21,1.36,0.8140000000000001,0.546
enzymes,22,1.2999999999999998,0.7490999999999997,0.5509000000000002
enzymes,23,1.36,0.6380000000000001,0.722
enzymes,24,1.62,0.7930999999999999,0.8269000000000002
enzymes,25,1.7400000000000002,0.9041999999999994,0.8358000000000008
enzymes,26,1.4,0.7270999999999996,0.6729000000000003
enzymes,27,1.34,0.8601999999999993,0.4798000000000008
enzymes,28,1.26,0.7512999999999992,0.5087000000000008
enzymes,29,1.12,0.48399999999999993,0.6360000000000001
enzymes,30,1.3600000000000003,0.6820000000000002,0.6780000000000002
enzymes,31,1.54,0.8590999999999996,0.6809000000000004
enzymes,32,1.4000000000000001,0.7480000000000001,0.652
enzymes,33,1.42,0.7710999999999999,0.6489
