tick,k_vs_oc_w1,current_threshold,bootstrap_repl_threshold,split_half_threshold,ratio_oc_over_sh
0,318.52000000000004,58.543099999999974,18.488799999999987,25.436399999999995,12.522212262741586
1,804.9599999999999,88.28819999999997,145.9953,187.1012,4.302270642839276
2,1311.32,113.49909999999998,906.0303999999995,1268.9335999999998,1.0334031662492034
3,1807.8,129.36659999999998,852.3052999999999,1113.1735999999992,1.6240054561121475
4,2192.9,199.30679999999944,734.1388999999999,1026.0051999999998,2.1373186022838877
5,2500.44,254.15279999999981,971.7719000000001,1073.8772,2.3284226539123845
6,2807.56,344.2076,1008.4491999999989,1596.2716,1.75882349845728
7,3074.0599999999995,457.48230000000007,1396.2299999999993,2191.789599999998,1.4025342578502984
8,3311.72,550.6302999999996,1601.3337999999992,2440.8427999999994,1.3567936452114002
9,3531.96,608.6860999999997,1957.6336999999994,2434.872,1.4505731718135493
10,3806.7799999999997,580.6536999999996,2001.5467999999996,2604.4567999999995,1.4616406768582226
11,4097.320000000001,682.7633999999999,2324.1063999999997,3174.9080000000004,1.2905318831285821
12,4368.999999999999,610.2019000000001,2305.5923000000003,3507.9484,1.2454573163048803
13,4739.659999999999,780.7238999999994,2265.589699999999,3387.9120000000003,1.39899147321418
14,5034.280000000001,800.5084999999999,2589.3834999999995,3841.208799999998,1.3105978513847003
15,5281.0,859.2848000000001,2644.704699999999,3632.010799999999,1.454015500174174
16,5403.820000000001,1014.4408999999995,2892.0287000000003,4041.989599999996,1.3369208075151915
17,5650.160000000001,949.7894999999999,3091.8711999999996,4259.296799999999,1.326547612272524
18,5891.539999999999,939.3350999999985,3346.9479999999994,4567.939199999999,1.289758847928624
19,6132.08,980.9887999999997,3519.3982999999976,4855.0127999999995,1.2630409542895542
20,6325.7,1043.983599999999,3236.3616999999995,4819.0208,1.3126525621138634
21,6567.340000000001,1024.3893,3943.134799999999,4872.2256,1.347913774764453
22,6772.560000000001,1122.2804999999996,3793.9824999999996,5279.1024,1.2828999111667168
