observable,tick,w1,threshold,excess
substrates,0,318.52000000000004,58.543099999999974,259.97690000000006
substrates,1,804.9599999999999,88.28819999999997,716.6718
substrates,2,1311.32,113.49909999999998,1197.8209
substrates,3,1807.8,129.36659999999998,1678.4334
substrates,4,2192.9,199.30679999999944,1993.5932000000007
substrates,5,2500.44,254.15279999999981,2246.2872
substrates,6,2807.56,344.2076,2463.3523999999998
substrates,7,3074.0599999999995,457.48230000000007,2616.5776999999994
substrates,8,3311.72,550.6302999999996,2761.0897000000004
substrates,9,3531.96,608.6860999999997,2923.2739
substrates,10,3806.7799999999997,580.6536999999996,3226.1263
substrates,11,4097.320000000001,682.7633999999999,3414.556600000001
substrates,12,4368.999999999999,610.2019000000001,3758.798099999999
substrates,13,4739.659999999999,780.7238999999994,3958.9360999999994
substrates,14,5034.280000000001,800.5084999999999,4233.771500000001
substrates,15,5281.0,859.2848000000001,4421.7152
substrates,16,5403.820000000001,1014.4408999999995,4389.379100000001
substrates,17,5650.160000000001,949.7894999999999,4700.370500000001
substrates,18,5891.539999999999,939.3350999999985,4952.204900000001
substrates,19,6132.08,980.9887999999997,5151.0912
substrates,20,6325.7,1043.983599999999,5281.716400000001
substrates,21,6567.340000000001,1024.3893,5542.950700000001
substrates,22,6772.560000000001,1122.2804999999996,5650.2795000000015
substrates,23,6984.860000000001,1222.2418999999995,5762.6181000000015
substrates,24,7183.299999999999,1165.5303000000001,6017.769699999999
substrates,25,7453.4,1160.9685999999997,6292.4313999999995
substrates,26,7581.960000000001,1274.9791999999993,6306.980800000001
substrates,27,7817.540000000001,1213.7333999999998,6603.806600000001
substrates,28,8088.2,1196.0333,6892.1667
substrates,29,8275.4,1197.2422,7078.1578
substrates,30,8507.640000000001,1388.0151999999998,7119.624800000001
substrates,31,8721.54,1472.8175,7248.722500000001
substrates,32,8892.7,1326.8926,7565.807400000001
substrates,33,9073.44,1213.9995999999999,7859.4404
substrates,34,9311.5,1185.7395000000001,8125.7605
substrates,35,9467.6,1315.9234,8151.676600000001
substrates,36,9733.52,1222.7808999999997,8510.7391
substrates,37,9849.3,1349.2116,8500.088399999999
substrates,38,10064.740000000002,1424.8189999999997,8639.921000000002
substrates,39,10283.920000000002,1319.5094,8964.410600000003
substrates,40,10396.86,1297.7535999999998,9099.1064
substrates,41,10559.26,1257.7586999999999,9301.5013
substrates,42,10795.740000000002,1343.4234,9452.316600000002
substrates,43,10915.16,1307.5292999999997,9607.6307
substrates,44,11154.1,1520.6982999999998,9633.4017
substrates,45,11346.240000000002,1480.2402999999983,9865.999700000004
substrates,46,11515.36,1414.2556999999995,10101.1043
substrates,47,11768.2,1517.2090999999994,10250.9909
substrates,48,12052.740000000002,1666.4537999999998,10386.286200000002
substrates,49,12260.300000000001,1518.0858000000003,10742.2142
substrates,50,12385.060000000001,1665.4714999999997,10719.588500000002
substrates,51,12622.679999999998,1484.3047999999992,11138.375199999999
substrates,52,12848.319999999998,1535.5988999999997,11312.721099999999
substrates,53,13094.58,1480.2050999999994,11614.3749
substrates,54,13375.76,1612.6373999999998,11763.1226
substrates,55,13483.84,1685.938099999999,11797.9019
substrates,56,13737.16,1727.4377999999997,12009.7222
substrates,57,13894.080000000002,1702.305,12191.775000000001
substrates,58,14111.699999999999,1748.4477999999997,12363.252199999999
substrates,59,14376.680000000002,1779.1036999999988,12597.576300000004
substrates,60,14662.199999999999,1912.5084000000002,12749.691599999998
substrates,61,14813.12,1562.6060999999997,13250.513900000002
substrates,62,15042.3,1557.401999999999,13484.898000000001
substrates,63,15191.260000000004,1573.0549999999998,13618.205000000004
substrates,64,15408.480000000003,1586.3353000000004,13822.144700000003
substrates,65,15649.740000000003,1608.5882999999997,14041.151700000004
substrates,66,15955.160000000003,1566.4241999999997,14388.735800000004
substrates,67,16227.44,1699.4075999999995,14528.0324
substrates,68,16558.08,1779.9517999999991,14778.128200000003
substrates,69,16702.680000000004,1627.8042,15074.875800000003
substrates,70,16893.76,1760.1286999999995,15133.6313
substrates,71,17071.860000000004,1822.5591999999976,15249.300800000006
substrates,72,17375.060000000005,1776.7838000000002,15598.276200000004
substrates,73,17587.02,1718.5068999999985,15868.513100000002
substrates,74,17857.300000000003,1995.9279999999992,15861.372000000003
substrates,75,18067.099999999995,1863.6838000000002,16203.416199999994
substrates,76,18351.559999999994,1975.7848000000001,16375.775199999995
substrates,77,18576.120000000003,1846.0584999999996,16730.061500000003
substrates,78,18795.76,1871.287,16924.472999999998
substrates,79,19064.300000000003,1917.6706999999997,17146.629300000004
substrates,80,19260.620000000003,1808.6760999999997,17451.943900000002
substrates,81,19470.12,2058.8688999999995,17411.2511
substrates,82,19766.120000000003,2007.3657999999998,17758.754200000003
substrates,83,20012.780000000002,1992.1945999999996,18020.585400000004
substrates,84,20263.68,2126.5606999999995,18137.119300000002
substrates,85,20479.96,2050.955499999999,18429.0045
substrates,86,20670.600000000002,2041.2468999999994,18629.353100000004
substrates,87,20913.92,2021.2752999999996,18892.644699999997
substrates,88,21068.68,2036.0185999999987,19032.6614
substrates,89,21324.380000000005,2027.1933000000001,19297.186700000006
substrates,90,21574.3,2329.6515,19244.6485
substrates,91,21797.440000000002,2283.0632,19514.376800000002
substrates,92,21945.88,2231.5501999999988,19714.329800000003
substrates,93,22173.560000000005,1993.7928999999983,20179.76710000001
substrates,94,22446.1,2330.0629000000004,20116.037099999998
substrates,95,22686.88,2294.9519999999998,20391.928
substrates,96,22963.38,2336.841099999997,20626.538900000003
substrates,97,23253.62,2390.2867999999994,20863.3332
substrates,98,23522.84,2250.4063999999994,21272.4336
substrates,99,23771.06,2642.5586,21128.5014
enzymes,0,13.06,0.28600000000000025,12.774000000000001
enzymes,1,28.22,1.1242,27.095799999999997
enzymes,2,30.26,1.2539999999999996,29.006
enzymes,3,26.759999999999998,1.3419999999999994,25.418
enzymes,4,24.080000000000002,2.3991000000000007,21.6809
enzymes,5,21.96,2.0691000000000006,19.890900000000002
enzymes,6,26.34,3.4122000000000012,22.927799999999998
enzymes,7,28.74,4.0282,24.711799999999997
enzymes,8,25.58,2.424399999999999,23.1556
enzymes,9,26.720000000000002,2.9160999999999975,23.803900000000006
enzymes,10,29.919999999999998,2.1119999999999997,27.808
enzymes,11,30.36,2.86,27.5
enzymes,12,31.64,2.3165999999999976,29.323400000000003
enzymes,13,27.26,2.5321999999999996,24.727800000000002
enzymes,14,23.98,3.0151,20.9649
enzymes,15,24.66,4.093099999999999,20.5669
enzymes,16,28.419999999999998,2.7345999999999986,25.6854
enzymes,17,30.78,2.8831,27.896900000000002
enzymes,18,29.919999999999998,2.444199999999999,27.4758
enzymes,19,27.54,3.7883999999999984,23.7516
enzymes,20,28.06,2.5750999999999995,25.4849
enzymes,21,26.46,3.0612999999999992,23.3987
enzymes,22,25.8,3.0634999999999986,22.736500000000003
enzymes,23,25.799999999999997,3.917100000000001,21.882899999999996
